Channel (Targets 2023).Account Name,Channel (Targets 2023).Account Type,Channel (Targets 2023).Amount,Accounts.NNL Discount %,Accounts.NB Discount %,Accounts.Renewal Discount %,Accounts.Id,New Business Won
Alteram Solutions,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000044326096,"R 70,827.00"
Altron Digital Business,Silver Reseller,"R 500,000.00",,,,,R 0.00
Boxcom (Pty) Ltd t/a BC Technologies,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000010846001,"R 42,213.25"
Brilliant Telecommunications Pty,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000003818044,"R 360,509.40"
Business Connexion (Pty) Ltd,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000001441114,"R 19,883.50"
Collaborative IT Solutions (Pty) Ltd,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000001437297,"R 661,404.25"
Cyber Insight,Gold Reseller,"R 1,000,000.00",10.00%,7.50%,2.50%,3531584000013948002,"R 894,297.77"
Cyber Intelligent Systems,Gold Reseller,"R 1,550,000.00",10.00%,7.50%,2.50%,3531584000001735188,R 0.00
Datacentrix (Pty) Ltd,Platinum Reseller,"R 12,500,000.00",12.50%,10.00%,5.00%,3531584000001413419,"R 753,948.35"
Dataproof Communications (Pty) Ltd,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000002188011,"R 339,244.00"
Dimension Data (Pty) Ltd,Silver Reseller,"R 1,000,000.00",7.50%,5.00%,1.50%,3531584000005720148,R 0.00
First Technology KZN (Pty) Ltd,Platinum Reseller,"R 11,000,000.00",12.50%,10.00%,5.00%,3531584000002811014,"R 2,338,846.90"
First Technology National (Pty) Ltd,Platinum Reseller,"R 2,000,000.00",12.50%,10.00%,5.00%,3531584000031752209,"R 2,023,970.23"
First Technology WC (Pty) Ltd,Platinum Reseller,"R 2,000,000.00",12.50%,10.00%,5.00%,3531584000001413417,"R 247,456.23"
Galix Networking (Pty) Ltd,Silver Reseller,R 0.00,7.50%,5.00%,1.50%,3531584000001409085,"R 27,820.75"
Gallorand Solutions,Silver Reseller,R 0.00,7.50%,5.00%,1.50%,3531584000001437336,R 0.00
Idol Consulting Firm,Platinum Reseller,"R 3,200,000.00",12.50%,10.00%,5.00%,3531584000007065022,"R 724,366.80"
Mindspring Computing (Pty) Ltd,Platinum Reseller,"R 6,000,000.00",12.50%,10.00%,5.00%,3531584000001437346,"R 2,373,795.29"
NEC XON Systems Pty Ltd,Silver Reseller,"R 500,000.00",12.50%,10.00%,5.00%,3531584000001441183,R 0.00
Nexio,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000076428368,"R 44,315.60"
Nkemba Technologies (Pty) Ltd,Platinum Reseller,"R 2,000,000.00",12.50%,10.00%,5.00%,3531584000068785003,"R 3,073,053.97"
Phandu Communications,Platinum Reseller,"R 3,100,000.00",12.50%,10.00%,5.00%,3531584000001409065,"R 266,476.50"
Plus1X Solutions (Pty) Ltd,Platinum Reseller,"R 4,500,000.00",12.50%,10.00%,5.00%,3531584000019371069,"R 301,699.75"
Razrtec (Pty) Ltd,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000208911332,R 0.00
TCM (Pty) Ltd,Platinum Reseller,"R 4,000,000.00",12.50%,10.00%,5.00%,3531584000001409062,"R 3,444,484.25"
Titus Corporation,Platinum Reseller,R 0.00,12.50%,10.00%,5.00%,3531584000001409083,"R 70,087.50"
Unifyx Solutions,Gold Reseller,"R 1,200,000.00",10.00%,7.50%,2.50%,3531584000163426111,R 0.00
Wire Speed Systems,Silver Reseller,"R 500,000.00",7.50%,5.00%,1.50%,3531584000014941023,"R 290,413.67"
iOCO Infrastructure Services (Pty) Ltd,Gold Reseller,"R 1,500,000.00",10.00%,7.50%,2.50%,3531584000107811001,"R 854,507.19"
